run_epoch,run_number,git_hash,mode,scenario,lod_distribution,chunks,elapsed_ms,chunks_per_sec,vertices_total,vertices_per_chunk,vertices_per_sec,query_qps,hw_threads,theoretical_chunks_per_sec,theoretical_vertices_per_sec
1776232545,12,b1aa64d_dirty,quick,lod0_32,L0=32,32,185.5646,172.4467,64806,2025.1875,349236.9147,815892.9930,24,82810.3041,89750221.9210
1776232545,12,b1aa64d_dirty,quick,lod0_64,L0=64,64,374.7833,170.7654,128166,2002.5938,341973.6553,815892.9930,24,82810.3041,89750221.9210
1776232545,12,b1aa64d_dirty,quick,lod1_1024,L1=1024,1024,296.7747,3450.4293,794514,775.8926,2677162.5133,815892.9930,24,82810.3041,89750221.9210
1776232545,12,b1aa64d_dirty,quick,lod2_1024,L2=1024,1024,302.3538,3386.7606,992220,968.9648,3281651.9401,815892.9930,24,82810.3041,89750221.9210
1776232545,12,b1aa64d_dirty,quick,lod3_2048,L3=2048,2048,596.2404,3434.8564,2229696,1088.7188,3739592.5800,815892.9930,24,82810.3041,89750221.9210
1776232545,12,b1aa64d_dirty,quick,rd128_mix_quick,L0=96|L1=604|L2=604|L3=604,1908,1076.7147,1772.0572,1907256,999.6101,1771366.1950,815892.9930,24,82810.3041,89750221.9210
