run_epoch,run_number,git_hash,mode,scenario,lod_distribution,chunks,elapsed_ms,chunks_per_sec,vertices_total,vertices_per_chunk,vertices_per_sec,query_qps,hw_threads,theoretical_chunks_per_sec,theoretical_vertices_per_sec
1776567814,20,c246c3d_dirty,quick,lod0_32,L0=32,32,2929.6615,10.9228,488118,15253.6875,166612.4226,768073.4598,24,71986.1300,81072551.1579
1776567814,20,c246c3d_dirty,quick,lod0_64,L0=64,64,5903.3073,10.8414,993654,15525.8438,168321.5780,768073.4598,24,71986.1300,81072551.1579
1776567814,20,c246c3d_dirty,quick,lod1_1024,L1=1024,1024,343.9809,2976.9095,907200,885.9375,2637355.7369,768073.4598,24,71986.1300,81072551.1579
1776567814,20,c246c3d_dirty,quick,lod2_1024,L2=1024,1024,347.6583,2945.4208,1010652,986.9648,2907026.8134,768073.4598,24,71986.1300,81072551.1579
1776567814,20,c246c3d_dirty,quick,lod3_2048,L3=2048,2048,682.7982,2999.4221,2306508,1126.2246,3378022.9649,768073.4598,24,71986.1300,81072551.1579
1776567814,20,c246c3d_dirty,quick,rd128_mix_quick,L0=96|L1=604|L2=604|L3=604,1908,9505.2470,200.7312,3286416,1722.4403,345747.5645,768073.4598,24,71986.1300,81072551.1579
