run_epoch,run_number,git_hash,mode,scenario,lod_distribution,chunks,elapsed_ms,chunks_per_sec,vertices_total,vertices_per_chunk,vertices_per_sec,query_qps,hw_threads,theoretical_chunks_per_sec,theoretical_vertices_per_sec
1776232585,13,b1aa64d_dirty,quick,lod0_32,L0=32,32,161.5555,198.0743,64806,2025.1875,401137.6548,813277.5600,24,82627.3682,87553136.4115
1776232585,13,b1aa64d_dirty,quick,lod0_64,L0=64,64,312.7775,204.6183,128166,2002.5938,409767.3004,813277.5600,24,82627.3682,87553136.4115
1776232585,13,b1aa64d_dirty,quick,lod1_1024,L1=1024,1024,297.4317,3442.8070,794514,775.8926,2671248.4062,813277.5600,24,82627.3682,87553136.4115
1776232585,13,b1aa64d_dirty,quick,lod2_1024,L2=1024,1024,301.1417,3400.3927,992220,968.9648,3294860.9454,813277.5600,24,82627.3682,87553136.4115
1776232585,13,b1aa64d_dirty,quick,lod3_2048,L3=2048,2048,611.2026,3350.7711,2229696,1088.7188,3648047.3505,813277.5600,24,82627.3682,87553136.4115
1776232585,13,b1aa64d_dirty,quick,rd128_mix_quick,L0=96|L1=604|L2=604|L3=604,1908,1005.8157,1896.9678,1907256,999.6101,1896228.1024,813277.5600,24,82627.3682,87553136.4115
