run_epoch,run_number,git_hash,mode,scenario,lod_distribution,chunks,elapsed_ms,chunks_per_sec,vertices_total,vertices_per_chunk,vertices_per_sec,query_qps,hw_threads,theoretical_chunks_per_sec,theoretical_vertices_per_sec
1776232106,9,b1aa64d_dirty,quick,lod0_32,L0=32,32,145.5008,219.9301,64806,2025.1875,445399.7446,822904.0883,24,82626.0403,88598231.3220
1776232106,9,b1aa64d_dirty,quick,lod0_64,L0=64,64,311.1512,205.6878,128166,2002.5938,411909.0138,822904.0883,24,82626.0403,88598231.3220
1776232106,9,b1aa64d_dirty,quick,lod1_1024,L1=1024,1024,297.4365,3442.7517,794514,775.8926,2671205.4775,822904.0883,24,82626.0403,88598231.3220
1776232106,9,b1aa64d_dirty,quick,lod2_1024,L2=1024,1024,306.5021,3340.9230,992220,968.9648,3237236.9148,822904.0883,24,82626.0403,88598231.3220
1776232106,9,b1aa64d_dirty,quick,lod3_2048,L3=2048,2048,603.9929,3390.7683,2229696,1088.7188,3691592.9717,822904.0883,24,82626.0403,88598231.3220
1776232106,9,b1aa64d_dirty,quick,rd128_mix_quick,L0=96|L1=604|L2=604|L3=604,1908,975.9353,1955.0477,1907256,999.6101,1954285.3653,822904.0883,24,82626.0403,88598231.3220
