run_epoch,run_number,git_hash,mode,scenario,lod_distribution,chunks,elapsed_ms,chunks_per_sec,vertices_total,vertices_per_chunk,vertices_per_sec,query_qps,hw_threads,theoretical_chunks_per_sec,theoretical_vertices_per_sec
1776236243,19,8c4014c_dirty,quick,lod0_32,L0=32,32,967.0474,33.0904,122418,3825.5625,126589.4457,818901.4184,24,78889.7786,83498944.2814
1776236243,19,8c4014c_dirty,quick,lod0_64,L0=64,64,1946.2892,32.8831,271002,4234.4062,139240.3572,818901.4184,24,78889.7786,83498944.2814
1776236243,19,8c4014c_dirty,quick,lod1_1024,L1=1024,1024,311.5232,3287.0741,794916,776.2852,2551706.8394,818901.4184,24,78889.7786,83498944.2814
1776236243,19,8c4014c_dirty,quick,lod2_1024,L2=1024,1024,317.6332,3223.8444,992250,968.9941,3123886.3333,818901.4184,24,78889.7786,83498944.2814
1776236243,19,8c4014c_dirty,quick,lod3_2048,L3=2048,2048,640.6788,3196.6098,2229000,1088.3789,3479122.6784,818901.4184,24,78889.7786,83498944.2814
1776236243,19,8c4014c_dirty,quick,rd128_mix_quick,L0=96|L1=604|L2=604|L3=604,1908,3465.9932,550.4916,2152656,1128.2264,621079.1258,818901.4184,24,78889.7786,83498944.2814
