run_epoch,mode,scenario,lod_distribution,chunks,elapsed_ms,chunks_per_sec,vertices_total,vertices_per_chunk,vertices_per_sec,query_qps,hw_threads,theoretical_chunks_per_sec,theoretical_vertices_per_sec
1776155826,quick,lod0_32,L0=32,32,3005.3120,10.6478,64428,2013.3750,21438.0407,611634.5429,10,40575.0878,40818260.9958
1776155826,quick,lod0_64,L0=64,64,6678.4463,9.5831,127938,1999.0312,19156.8509,611634.5429,10,40575.0878,40818260.9958
1776155826,quick,lod1_1024,L1=1024,1024,258.7642,3957.2713,780078,761.7949,3014629.1469,611634.5429,10,40575.0878,40818260.9958
1776155826,quick,lod2_1024,L2=1024,1024,261.9531,3909.0970,935280,913.3594,3570410.3547,611634.5429,10,40575.0878,40818260.9958
1776155826,quick,lod3_2048,L3=2048,2048,504.7432,4057.5088,2060274,1005.9932,4081826.0996,611634.5429,10,40575.0878,40818260.9958
1776155826,quick,rd128_mix_quick,L0=96|L1=604|L2=604|L3=604,1908,10671.2049,178.7989,1810266,948.7767,169640.2629,611634.5429,10,40575.0878,40818260.9958
