run_epoch,run_number,git_hash,mode,scenario,lod_distribution,chunks,elapsed_ms,chunks_per_sec,vertices_total,vertices_per_chunk,vertices_per_sec,query_qps,hw_threads,theoretical_chunks_per_sec,theoretical_vertices_per_sec
1776577434,36,c246c3d_dirty,quick,lod0_32,L0=32,32,146.2594,218.7894,277386,8668.3125,1896534.5133,1603850.7816,24,140077.8476,173553990.9020
1776577434,36,c246c3d_dirty,quick,lod0_64,L0=64,64,286.9382,223.0445,537486,8398.2188,1873176.8722,1603850.7816,24,140077.8476,173553990.9020
1776577434,36,c246c3d_dirty,quick,lod1_1024,L1=1024,1024,176.0561,5816.3279,1133304,1106.7422,6437175.4231,1603850.7816,24,140077.8476,173553990.9020
1776577434,36,c246c3d_dirty,quick,lod2_1024,L2=1024,1024,179.7923,5695.4608,1230870,1202.0215,6846066.2665,1603850.7816,24,140077.8476,173553990.9020
1776577434,36,c246c3d_dirty,quick,lod3_2048,L3=2048,2048,350.8906,5836.5770,2537436,1238.9824,7231416.2876,1603850.7816,24,140077.8476,173553990.9020
1776577434,36,c246c3d_dirty,quick,rd128_mix_quick,L0=96|L1=604|L2=604|L3=604,1908,724.0153,2635.3034,2871414,1504.9340,3965957.6255,1603850.7816,24,140077.8476,173553990.9020
