run_epoch,run_number,git_hash,mode,scenario,lod_distribution,chunks,elapsed_ms,chunks_per_sec,vertices_total,vertices_per_chunk,vertices_per_sec,query_qps,hw_threads,theoretical_chunks_per_sec,theoretical_vertices_per_sec
1776157653,3,a0e3d04_dirty,quick,lod0_32,L0=32,32,55.9447,571.9933,64428,2013.3750,1151637.0771,687140.1211,10,47051.4627,45496886.6624
1776157653,3,a0e3d04_dirty,quick,lod0_64,L0=64,64,98.2395,651.4688,127938,1999.0312,1302306.5733,687140.1211,10,47051.4627,45496886.6624
1776157653,3,a0e3d04_dirty,quick,lod1_1024,L1=1024,1024,217.6340,4705.1463,780078,761.7949,3584356.5319,687140.1211,10,47051.4627,45496886.6624
1776157653,3,a0e3d04_dirty,quick,lod2_1024,L2=1024,1024,244.0147,4196.4691,935280,913.3594,3832884.3569,687140.1211,10,47051.4627,45496886.6624
1776157653,3,a0e3d04_dirty,quick,lod3_2048,L3=2048,2048,452.8385,4522.5841,2060274,1005.9932,4549688.6662,687140.1211,10,47051.4627,45496886.6624
1776157653,3,a0e3d04_dirty,quick,rd128_mix_quick,L0=96|L1=604|L2=604|L3=604,1908,542.5666,3516.6191,1810266,948.7767,3336486.3534,687140.1211,10,47051.4627,45496886.6624
