run_epoch,run_number,git_hash,mode,scenario,lod_distribution,chunks,elapsed_ms,chunks_per_sec,vertices_total,vertices_per_chunk,vertices_per_sec,query_qps,hw_threads,theoretical_chunks_per_sec,theoretical_vertices_per_sec
1776571557,28,c246c3d_dirty,quick,lod0_32,L0=32,32,258.5719,123.7567,488148,15254.6250,1887861.7514,1878680.8054,24,176895.8577,191873481.6236
1776571557,28,c246c3d_dirty,quick,lod0_64,L0=64,64,520.4932,122.9603,993666,15526.0312,1909085.4597,1878680.8054,24,176895.8577,191873481.6236
1776571557,28,c246c3d_dirty,quick,lod1_1024,L1=1024,1024,138.9292,7370.6607,913224,891.8203,6573304.9640,1878680.8054,24,176895.8577,191873481.6236
1776571557,28,c246c3d_dirty,quick,lod2_1024,L2=1024,1024,142.3577,7193.1480,1017786,993.9316,7149497.3577,1878680.8054,24,176895.8577,191873481.6236
1776571557,28,c246c3d_dirty,quick,lod3_2048,L3=2048,2048,289.2481,7080.4268,2312460,1129.1309,7994728.4010,1878680.8054,24,176895.8577,191873481.6236
1776571557,28,c246c3d_dirty,quick,rd128_mix_quick,L0=96|L1=604|L2=604|L3=604,1908,1046.8035,1822.6917,3294828,1726.8491,3147513.3585,1878680.8054,24,176895.8577,191873481.6236
