run_epoch,run_number,git_hash,mode,scenario,lod_distribution,chunks,elapsed_ms,chunks_per_sec,vertices_total,vertices_per_chunk,vertices_per_sec,query_qps,hw_threads,theoretical_chunks_per_sec,theoretical_vertices_per_sec
1776841099,37,ad9c0fa_dirty,quick,lod0_32,L0=32,32,1603.8018,19.9526,9613032,300407.2500,5993902.6108,208044.8986,10,8890.9383,59939026.1079
1776841099,37,ad9c0fa_dirty,quick,lod0_64,L0=64,64,3012.0432,21.2480,17070978,266734.0312,5667574.1545,208044.8986,10,8890.9383,59939026.1079
1776841099,37,ad9c0fa_dirty,quick,lod1_1024,L1=1024,1024,1151.7345,889.0938,1188438,1160.5840,1031868.0593,208044.8986,10,8890.9383,59939026.1079
1776841099,37,ad9c0fa_dirty,quick,lod2_1024,L2=1024,1024,1191.9990,859.0611,1251918,1222.5762,1050267.6235,208044.8986,10,8890.9383,59939026.1079
1776841099,37,ad9c0fa_dirty,quick,lod3_2048,L3=2048,2048,2373.2076,862.9671,2576148,1257.8848,1085513.1336,208044.8986,10,8890.9383,59939026.1079
1776841099,37,ad9c0fa_dirty,quick,rd128_mix_quick,L0=96|L1=604|L2=604|L3=604,1908,8088.2066,235.8990,26290152,13778.9057,3250430.3140,208044.8986,10,8890.9383,59939026.1079
