run_epoch,run_number,git_hash,mode,scenario,lod_distribution,chunks,elapsed_ms,chunks_per_sec,vertices_total,vertices_per_chunk,vertices_per_sec,query_qps,hw_threads,theoretical_chunks_per_sec,theoretical_vertices_per_sec
1776572984,30,c246c3d_dirty,full,lod0_256,L0=256,256,2349.0764,108.9790,3697254,14442.3984,1573918.1578,1891134.9268,24,169537.7103,193329565.7011
1776572984,30,c246c3d_dirty,full,lod0_1024,L0=1024,1024,9532.4124,107.4230,15401280,15040.3125,1615674.9576,1891134.9268,24,169537.7103,193329565.7011
1776572984,30,c246c3d_dirty,full,lod1_1024,L1=1024,1024,144.9589,7064.0713,942804,920.7070,6503940.0823,1891134.9268,24,169537.7103,193329565.7011
1776572984,30,c246c3d_dirty,full,lod2_1024,L2=1024,1024,145.1171,7056.3703,1050738,1026.1113,7240621.5394,1891134.9268,24,169537.7103,193329565.7011
1776572984,30,c246c3d_dirty,full,lod3_2048,L3=2048,2048,292.1375,7010.3975,2353284,1149.0645,8055398.5709,1891134.9268,24,169537.7103,193329565.7011
1776572984,30,c246c3d_dirty,full,rd128_mix,L0=812|L1=604|L2=604|L3=604,2624,7763.0538,338.0113,13896744,5296.0152,1790113.0609,1891134.9268,24,169537.7103,193329565.7011
