run_epoch,run_number,git_hash,mode,scenario,lod_distribution,chunks,elapsed_ms,chunks_per_sec,vertices_total,vertices_per_chunk,vertices_per_sec,query_qps,hw_threads,theoretical_chunks_per_sec,theoretical_vertices_per_sec
1776568710,23,c246c3d_dirty,quick,lod0_32,L0=32,32,255.7871,125.1040,488118,15253.6875,1908297.9556,2146585.8391,24,194025.7501,210290076.6723
1776568710,23,c246c3d_dirty,quick,lod0_64,L0=64,64,516.4537,123.9220,993654,15525.8438,1923994.3484,2146585.8391,24,194025.7501,210290076.6723
1776568710,23,c246c3d_dirty,quick,lod1_1024,L1=1024,1024,126.6636,8084.4063,907200,885.9375,7162278.6657,2146585.8391,24,194025.7501,210290076.6723
1776568710,23,c246c3d_dirty,quick,lod2_1024,L2=1024,1024,135.8931,7535.3348,1010652,986.9648,7437110.4935,2146585.8391,24,194025.7501,210290076.6723
1776568710,23,c246c3d_dirty,quick,lod3_2048,L3=2048,2048,263.2373,7780.0524,2306508,1126.2246,8762086.5280,2146585.8391,24,194025.7501,210290076.6723
1776568710,23,c246c3d_dirty,quick,rd128_mix_quick,L0=96|L1=604|L2=604|L3=604,1908,1007.3375,1894.1020,3286416,1722.4403,3262477.5708,2146585.8391,24,194025.7501,210290076.6723
